id,fecha,centro_atencion_turistica,barrio,comuna,pasajeros,pais_residencia_si_extranjero,otro_pais_residencia_si_extranjero,provincia_residencia_si_argentino,pernoctaciones,medio_transporte_llegada,alojamiento,otro_alojamiento,barrio,otro_barrio,primera_vez,motivo_viaje,otro_motivo_viaje,motivo_consulta,otro_motivo_consulta
66,2017-01-02,planetario2,PALERMO,COMUNA 14,2,Brasil,,,5,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
67,2017-01-02,planetario2,PALERMO,COMUNA 14,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,bicicletas,
68,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,3,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion bancos,
69,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,Colombia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion bancos,
70,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Colombia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
71,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion atractivos,
72,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Francia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
73,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
74,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,2,Francia,,,3,No especifica,,,,,No especifica,No especifica,,Mapas,
75,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
76,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,China,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion atractivos,
77,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
